,country,correlation
0,Argentina,0.9749465270935765
1,Malaysia,0.98617615020839
2,Panama,0.9689597900244629
3,Israel,0.9724335921899429
4,Sri Lanka,0.9702808546342804
5,Vietnam,0.9916955359717561
6,Cyprus,0.9820855169844054
7,Czechoslovakia,0.9869632589697658
8,Chile,0.9776974965355103
9,Greece,0.9834387348089249
10,Peru,0.9860770425498593
11,Nepal,0.9802415233374677
12,Egypt,0.9624300476259668
13,China,0.9905631416004542
14,South Korea,0.9917419195034328
15,Thailand,0.9850373836250587
16,Turkey,0.9807871492385186
17,Brazil,0.9898335572902967
18,India,0.9048503671843597
19,Philippines,0.9797496625798626
20,North Korea,0.9095255060827444
21,Bolivia,0.9736678797494073
