,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
215,1965,16.275062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1966,16.636826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1967,16.929388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1968,17.575582999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1969,18.451945000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1970,19.499624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1971,20.008592999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1972,20.614542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1973,21.38644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1974,21.187664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1975,21.082867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1976,21.926295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1977,22.348883999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1978,22.883543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1979,23.289642999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1980,23.366101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1981,22.902114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1982,22.818448999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1983,23.152292000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1984,23.84256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1985,24.608135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1986,25.025178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1987,25.824408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1988,26.692503000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1989,27.120986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1990,27.510790999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1991,27.978436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1992,27.285318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1993,27.526963000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1994,27.666012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1995,28.105649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
