,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
300,2050,,6.355739,6.34318,5.740241,4.59382,4.020332,3.762517,3.272327,3.191401,2.907818,2.711654,2.26094,1.868198,1.460113,1.210024,0.922516,0.741721,0.622015,0.453824,0.260893,0.142471,0.066392,0.023874,0.00579,0.00066,1.50E-05,0,0
301,2051,,6.07344,6.059562,5.454028,4.315804,3.753383,3.500902,3.025278,2.945793,2.672368,2.483136,2.053093,1.68152,1.299405,1.06724,0.803535,0.639356,0.53141,0.381931,0.214007,0.113601,0.051075,0.01751,0.003976,0.00041,8.00E-06,0,0
302,2052,,5.802333,5.787261,5.180744,4.05338,3.503018,3.256369,2.79587,2.718078,2.455035,2.272962,1.863555,1.512805,1.155819,0.940816,0.699511,0.550795,0.453722,0.321216,0.175422,0.090511,0.039259,0.012831,0.002728,0.000255,4.00E-06,0,0
303,2053,,5.54208,5.525931,4.919917,3.805794,3.268325,3.027923,2.58296,2.50707,2.254539,2.079773,1.69082,1.360423,1.027618,0.828956,0.608632,0.474235,0.387163,0.269982,0.143696,0.07206,0.030152,0.009393,0.00187,0.000158,2.00E-06,0,0
304,2054,,5.292342,5.27523,4.671086,3.572317,3.048431,2.814613,2.385464,2.311646,2.069677,1.902297,1.533489,1.222877,0.913226,0.730049,0.529291,0.408099,0.330182,0.226785,0.117631,0.057331,0.02314,0.006871,0.00128,9.80E-05,1.00E-06,0,0
305,2055,,5.052785,5.034818,4.433793,3.352241,2.842498,2.615531,2.202357,2.130749,1.89932,1.739344,1.39027,1.098795,0.811218,0.64265,0.460071,0.351007,0.281437,0.190391,0.096235,0.045582,0.017746,0.005023,0.000876,6.10E-05,1.00E-06,0,0
306,2056,,4.823078,4.804356,4.207593,3.144888,2.649726,2.429814,2.032671,1.96338,1.742406,1.589802,1.259967,0.986921,0.720306,0.565468,0.399717,0.301755,0.239765,0.159751,0.078685,0.036218,0.0136,0.003668,0.000599,3.70E-05,0,0,0
307,2057,,4.60289,4.583511,3.992046,2.949601,2.46935,2.25664,1.875494,1.808598,1.597945,1.452634,1.141475,0.886107,0.639329,0.497347,0.347127,0.259293,0.204163,0.133972,0.0643,0.028761,0.010416,0.002678,0.000409,2.30E-05,0,0,0
308,2058,,4.391899,4.371953,3.786725,2.765751,2.300643,2.095231,1.729968,1.665522,1.465008,1.326876,1.033775,0.795307,0.567239,0.437256,0.301328,0.222706,0.173766,0.112298,0.052516,0.022826,0.007973,0.001953,0.000279,1.40E-05,0,0,0
309,2059,,4.189785,4.169357,3.591212,2.592734,2.142911,1.944847,1.595284,1.533323,1.34273,1.21163,0.935932,0.713564,0.503092,0.384277,0.261465,0.1912,0.147829,0.094085,0.04287,0.018106,0.006099,0.001424,0.000191,9.00E-06,0,0,0
310,2060,,3.996235,3.975406,3.405101,2.429971,1.995497,1.804791,1.470686,1.411223,1.230303,1.106064,0.847082,0.64001,0.446042,0.337592,0.226786,0.164083,0.125709,0.07879,0.034979,0.014354,0.004663,0.001037,0.00013,5.00E-06,0,0,0
311,2061,,3.810942,3.789787,3.227997,2.276909,1.857776,1.674402,1.355463,1.298496,1.126975,1.009404,0.766433,0.573854,0.395327,0.296472,0.196632,0.140756,0.106855,0.065953,0.028527,0.011374,0.003563,0.000755,8.90E-05,3.00E-06,0,0,0
312,2062,,3.633605,3.612195,3.059515,2.133017,1.729156,1.553056,1.248948,1.194462,1.032047,0.920935,0.693259,0.514377,0.350263,0.260272,0.170426,0.1207,0.090792,0.055185,0.023255,0.009009,0.002721,0.00055,6.00E-05,2.00E-06,0,0,0
313,2063,,3.463931,3.44233,2.899285,1.99779,1.609076,1.440166,1.15052,1.098485,0.944869,0.839992,0.626892,0.460926,0.310237,0.228415,0.14766,0.103463,0.077115,0.046156,0.018949,0.007132,0.002077,0.0004,4.10E-05,1.00E-06,0,0,0
314,2064,,3.301632,3.279902,2.746947,1.870748,1.497004,1.335178,1.059594,1.009973,0.864836,0.765964,0.566724,0.41291,0.274702,0.200394,0.127893,0.088657,0.065474,0.038589,0.015434,0.005644,0.001585,0.000291,2.80E-05,1.00E-06,0,0,0
315,2065,,3.146428,3.124626,2.602151,1.75143,1.392441,1.237569,0.975628,0.928373,0.791388,0.698283,0.512194,0.369793,0.243165,0.175755,0.110736,0.075944,0.05557,0.032251,0.012566,0.004464,0.001209,0.000211,1.90E-05,0,0,0,0
316,2066,,2.998048,2.976225,2.464562,1.6394,1.294913,1.146849,0.898114,0.853168,0.724006,0.636427,0.462791,0.331089,0.215187,0.1541,0.09585,0.065033,0.047149,0.026944,0.010227,0.00353,0.000922,0.000153,1.30E-05,0,0,0,0
317,2067,,2.856225,2.834431,2.333856,1.534243,1.203973,1.062558,0.826577,0.783881,0.662208,0.579912,0.41805,0.296358,0.190375,0.135075,0.08294,0.055671,0.03999,0.022503,0.008321,0.00279,0.000702,0.000111,9.00E-06,0,0,0,0
318,2068,,2.720703,2.698982,2.20972,1.435564,1.1192,0.984262,0.760577,0.720065,0.60555,0.528294,0.377542,0.265203,0.168379,0.118365,0.071748,0.047643,0.033908,0.018788,0.006767,0.002204,0.000535,8.10E-05,6.00E-06,0,0,0,0
319,2069,,2.591232,2.569624,2.091852,1.342989,1.040197,0.911556,0.699702,0.661304,0.55362,0.481162,0.34088,0.237265,0.148887,0.103694,0.062049,0.040761,0.028742,0.015681,0.005502,0.001741,0.000407,5.90E-05,4.00E-06,0,0,0,0
320,2070,,2.467569,2.446112,1.979963,1.256162,0.966592,0.844059,0.643571,0.607215,0.506036,0.438141,0.307708,0.21222,0.131617,0.090818,0.053646,0.034862,0.024356,0.013083,0.004471,0.001374,0.00031,4.20E-05,3.00E-06,0,0,0,0
321,2071,,2.34948,2.328208,1.873774,1.174747,0.898033,0.781414,0.591827,0.557438,0.462448,0.398882,0.277703,0.189775,0.116323,0.079521,0.046369,0.029809,0.020633,0.010913,0.003633,0.001085,0.000236,3.10E-05,2.00E-06,0,0,0,0
322,2072,,2.236737,2.215681,1.773016,1.098426,0.834189,0.723287,0.54414,0.511643,0.42253,0.363066,0.25057,0.169665,0.102782,0.069611,0.040069,0.025482,0.017475,0.0091,0.002951,0.000856,0.000179,2.20E-05,1.00E-06,0,0,0,0
323,2073,,2.129121,2.108308,1.677434,1.026895,0.774752,0.669366,0.500203,0.469522,0.385983,0.330401,0.22604,0.151654,0.090796,0.060923,0.034616,0.021777,0.014796,0.007586,0.002396,0.000675,0.000136,1.60E-05,1.00E-06,0,0,0,0
324,2074,,2.026418,2.005874,1.586781,0.95987,0.71943,0.619358,0.459732,0.43079,0.352531,0.300616,0.203871,0.135526,0.08019,0.053306,0.029898,0.018607,0.012524,0.006323,0.001945,0.000532,0.000104,1.20E-05,1.00E-06,0,0,0,0
325,2075,,1.928424,1.908171,1.500819,0.897081,0.66795,0.57299,0.422461,0.395182,0.321919,0.273465,0.18384,0.121088,0.070808,0.046631,0.025817,0.015894,0.010599,0.005268,0.001579,0.00042,7.90E-05,8.00E-06,0,0,0,0,0
326,2076,,1.834941,1.814999,1.419323,0.838272,0.620055,0.530006,0.388146,0.362455,0.293913,0.24872,0.165746,0.108167,0.06251,0.040784,0.022288,0.013573,0.008967,0.004388,0.001281,0.000331,6.00E-05,6.00E-06,0,0,0,0,0
327,2077,,1.745777,1.726163,1.342075,0.783203,0.575505,0.490169,0.356559,0.332381,0.268296,0.226174,0.149404,0.096606,0.055174,0.035662,0.019237,0.011589,0.007585,0.003655,0.001039,0.000261,4.50E-05,4.00E-06,0,0,0,0,0
328,2078,,1.660747,1.641478,1.268869,0.731646,0.534075,0.453256,0.327489,0.304753,0.244871,0.205636,0.13465,0.086264,0.048689,0.031176,0.016601,0.009892,0.006414,0.003043,0.000842,0.000205,3.50E-05,3.00E-06,0,0,0,0,0
329,2079,,1.579675,1.560763,1.199504,0.683387,0.495555,0.419059,0.300742,0.279377,0.223455,0.186932,0.121331,0.077015,0.042958,0.02725,0.014322,0.008442,0.005423,0.002533,0.000683,0.000162,2.60E-05,2.00E-06,0,0,0,0,0
330,2080,,1.50239,1.483846,1.133792,0.638224,0.459747,0.387385,0.276137,0.256073,0.203878,0.169901,0.109311,0.068746,0.037895,0.023813,0.012354,0.007203,0.004584,0.002108,0.000554,0.000127,2.00E-05,2.00E-06,0,0,0,0,0
331,2081,,1.428726,1.410561,1.07155,0.595965,0.426467,0.358053,0.253507,0.234677,0.185988,0.154396,0.098465,0.061354,0.033422,0.020806,0.010654,0.006145,0.003874,0.001754,0.000449,0.0001,1.50E-05,1.00E-06,0,0,0,0,0
332,2082,,1.358525,1.340746,1.012606,0.556432,0.395541,0.330896,0.232697,0.215037,0.169642,0.140285,0.088681,0.054747,0.029472,0.018176,0.009187,0.005241,0.003274,0.001459,0.000363,7.90E-05,1.10E-05,1.00E-06,0,0,0,0,0
